level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1920	1080	-1	
2	1	1	0	0	0	0	4	709	58	-1	
3	1	1	1	0	0	0	4	709	56	-1	
4	1	1	1	1	0	2	4	707	20	-1	
5	1	1	1	1	1	2	4	20	20	76.065308	H]
5	1	1	1	1	2	30	9	84	11	86.619781	FPT.Ehospital:
5	1	1	1	1	3	124	9	35	11	93.144226	BỆNH
5	1	1	1	1	4	165	6	30	14	91.824310	VIỆN
5	1	1	1	1	5	202	4	28	16	93.285316	PHỔI
5	1	1	1	1	6	240	9	31	11	92.756424	TỈNH
5	1	1	1	1	7	278	9	50	12	93.229263	QUẢNG
5	1	1	1	1	8	335	9	35	11	82.058670	NỊNH
5	1	1	1	1	9	376	15	4	1	92.632484	=
5	1	1	1	1	10	386	9	49	10	92.632484	SERVER
5	1	1	1	1	11	441	9	26	10	38.878159	MỚIL
5	1	1	1	1	12	474	15	4	1	55.374596	=
5	1	1	1	1	13	484	9	36	10	85.043129	[Chẩn
5	1	1	1	1	14	525	9	35	10	45.983269	Đoán
5	1	1	1	1	15	566	9	29	10	93.235672	Hình
5	1	1	1	1	16	601	5	108	14	52.739620	Ảnh(SA-XO-CTI
4	1	1	1	2	0	10	29	592	22	-1	
5	1	1	1	2	1	10	35	15	16	47.959026	s3
5	1	1	1	2	2	43	36	23	13	70.434456	Tiếp
5	1	1	1	2	3	78	36	28	13	70.434456	Đón
5	1	1	1	2	4	122	26	39	29	93.157959	Khám
5	1	1	1	2	5	170	26	37	29	93.157959	Bệnh
5	1	1	1	2	6	218	26	28	29	93.035309	Cận
5	1	1	1	2	7	254	26	26	29	93.262474	Lâm
5	1	1	1	2	8	298	36	5	3	92.941040	Sà
5	1	1	1	2	9	356	29	16	16	0.000000	Ö
5	1	1	1	2	10	381	32	41	14	91.339134	Thông
5	1	1	1	2	11	428	33	16	10	89.671120	tin
5	1	1	1	2	12	449	32	22	11	93.188515	văn
5	1	1	1	2	13	477	31	23	12	93.283798	bản
5	1	1	1	2	14	505	32	35	11	93.279274	trước
5	1	1	1	2	15	546	32	17	11	89.268768	khi
5	1	1	1	2	16	570	25	14	27	89.268768	ký
5	1	1	1	2	17	590	31	12	12	92.790688	số
4	1	1	1	3	0	0	31	323	31	-1	
5	1	1	1	3	1	0	49	3	11	77.173706	:
5	1	1	1	3	2	49	31	29	31	69.764175	lếp
5	1	1	1	3	3	181	50	3	2	84.118591	ệ
5	1	1	1	3	4	233	50	4	2	85.333794	â
5	1	1	1	3	5	288	37	35	15	79.445251	Sàng
2	1	2	0	0	0	11	60	120	30	-1	
3	1	2	1	0	0	11	60	120	30	-1	
4	1	2	1	1	0	11	60	120	30	-1	
5	1	2	1	1	1	7	56	33	49	87.891853	(+
5	1	2	1	1	2	58	60	73	30	0.000000	EZi
5	1	2	1	1	3	109	56	25	49	95.460815	X
2	1	3	0	0	0	199	60	89	30	-1	
3	1	3	1	0	0	199	60	89	30	-1	
4	1	3	1	1	0	199	60	89	30	-1	
5	1	3	1	1	1	199	60	89	30	38.680843	U)
2	1	4	0	0	0	10	125	334	6	-1	
3	1	4	1	0	0	10	125	334	6	-1	
4	1	4	1	1	0	10	125	334	6	-1	
5	1	4	1	1	1	10	125	334	6	95.000000	 
2	1	5	0	0	0	17	142	305	6	-1	
3	1	5	1	0	0	17	142	305	6	-1	
4	1	5	1	1	0	17	142	305	6	-1	
5	1	5	1	1	1	17	142	305	6	95.000000	 
2	1	6	0	0	0	17	142	305	6	-1	
3	1	6	1	0	0	17	142	305	6	-1	
4	1	6	1	1	0	17	142	305	6	-1	
5	1	6	1	1	1	17	142	305	6	95.000000	 
2	1	7	0	0	0	17	143	327	4	-1	
3	1	7	1	0	0	17	143	327	4	-1	
4	1	7	1	1	0	17	143	327	4	-1	
5	1	7	1	1	1	17	143	327	4	95.000000	 
2	1	8	0	0	0	17	142	327	5	-1	
3	1	8	1	0	0	17	142	327	5	-1	
4	1	8	1	1	0	17	142	327	5	-1	
5	1	8	1	1	1	17	142	327	5	95.000000	 
2	1	9	0	0	0	343	143	1	27	-1	
3	1	9	1	0	0	343	143	1	27	-1	
4	1	9	1	1	0	343	143	1	27	-1	
5	1	9	1	1	1	343	143	1	27	95.000000	 
2	1	10	0	0	0	160	144	1	25	-1	
3	1	10	1	0	0	160	144	1	25	-1	
4	1	10	1	1	0	160	144	1	25	-1	
5	1	10	1	1	1	160	144	1	25	95.000000	 
2	1	11	0	0	0	16	166	328	6	-1	
3	1	11	1	0	0	16	166	328	6	-1	
4	1	11	1	1	0	16	166	328	6	-1	
5	1	11	1	1	1	16	166	328	6	95.000000	 
2	1	12	0	0	0	134	304	104	1	-1	
3	1	12	1	0	0	134	304	104	1	-1	
4	1	12	1	1	0	134	304	104	1	-1	
5	1	12	1	1	1	134	304	104	1	95.000000	 
2	1	13	0	0	0	137	358	104	37	-1	
3	1	13	1	0	0	137	358	104	37	-1	
4	1	13	1	1	0	137	358	104	37	-1	
5	1	13	1	1	1	137	358	104	37	95.000000	 
2	1	14	0	0	0	136	453	102	1	-1	
3	1	14	1	0	0	136	453	102	1	-1	
4	1	14	1	1	0	136	453	102	1	-1	
5	1	14	1	1	1	136	453	102	1	95.000000	 
2	1	15	0	0	0	136	479	102	1	-1	
3	1	15	1	0	0	136	479	102	1	-1	
4	1	15	1	1	0	136	479	102	1	-1	
5	1	15	1	1	1	136	479	102	1	95.000000	 
2	1	16	0	0	0	136	483	102	1	-1	
3	1	16	1	0	0	136	483	102	1	-1	
4	1	16	1	1	0	136	483	102	1	-1	
5	1	16	1	1	1	136	483	102	1	95.000000	 
2	1	17	0	0	0	136	509	102	1	-1	
3	1	17	1	0	0	136	509	102	1	-1	
4	1	17	1	1	0	136	509	102	1	-1	
5	1	17	1	1	1	136	509	102	1	95.000000	 
2	1	18	0	0	0	237	452	1	71	-1	
3	1	18	1	0	0	237	452	1	71	-1	
4	1	18	1	1	0	237	452	1	71	-1	
5	1	18	1	1	1	237	452	1	71	95.000000	 
2	1	19	0	0	0	136	513	102	1	-1	
3	1	19	1	0	0	136	513	102	1	-1	
4	1	19	1	1	0	136	513	102	1	-1	
5	1	19	1	1	1	136	513	102	1	95.000000	 
2	1	20	0	0	0	7	97	337	481	-1	
3	1	20	1	0	0	7	97	337	481	-1	
4	1	20	1	1	0	7	97	284	16	-1	
5	1	20	1	1	1	7	97	40	14	91.497910	Thêm
5	1	20	1	1	2	61	97	26	14	91.497910	Sửa
5	1	20	1	1	3	103	97	27	14	93.049789	Xóa
5	1	20	1	1	4	147	99	24	11	83.667877	Lưu
5	1	20	1	1	5	187	97	47	16	61.167339	8öqua
5	1	20	1	1	6	255	97	36	16	91.423355	Đóng
4	1	20	1	2	0	16	141	327	32	-1	
5	1	20	1	2	1	16	141	64	32	2.132172	|24008923
5	1	20	1	2	2	146	151	68	18	56.639244	-|Recrd:
5	1	20	1	2	3	228	152	11	10	8.301407	!k
5	1	20	1	2	4	258	142	6	31	16.511398	!
5	1	20	1	2	5	273	150	1	16	65.969063	(
5	1	20	1	2	6	311	150	32	17	22.504311	lOf
4	1	20	1	3	0	45	184	299	16	-1	
5	1	20	1	3	1	45	184	22	15	93.138756	Nội
5	1	20	1	3	2	73	184	17	15	76.333122	bộ
5	1	20	1	3	3	164	185	60	15	75.789505	Sốphiếu
5	1	20	1	3	4	265	186	79	12	75.789505	 |25.0204.00
4	1	20	1	4	0	45	210	299	19	-1	
5	1	20	1	4	1	45	210	26	13	81.472565	Bên
5	1	20	1	4	2	77	210	37	15	88.967789	ngoài
5	1	20	1	4	3	165	211	52	13	71.732178	Pacsld
5	1	20	1	4	4	235	202	14	32	36.456142	-
5	1	20	1	4	5	265	212	79	17	16.925507	[250202400V
4	1	20	1	5	0	22	239	320	21	-1	
5	1	20	1	5	1	22	245	29	13	93.136909	Lâm
5	1	20	1	5	2	57	245	32	15	82.357277	sàng
5	1	20	1	5	3	140	245	34	13	16.754074	Viêm
5	1	20	1	5	4	179	244	32	16	92.666611	phối,
5	1	20	1	5	5	218	245	20	13	36.279938	khí
5	1	20	1	5	6	250	239	16	16	0.000000	##
5	1	20	1	5	7	276	242	46	14	80.567741	Nghiệp
5	1	20	1	5	8	327	245	15	8	42.685631	vụi
4	1	20	1	6	0	19	281	325	19	-1	
5	1	20	1	6	1	19	285	113	15	41.191109	Đơnvịthựchiện
5	1	20	1	6	2	143	285	33	13	51.292068	Khoa
5	1	20	1	6	3	183	285	50	13	42.931370	Hồisức.
5	1	20	1	6	4	264	281	11	11	73.763412	@
