level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2560	1600	-1	
2	1	1	0	0	0	0	5	2554	63	-1	
3	1	1	1	0	0	0	5	2554	63	-1	
4	1	1	1	1	0	2	5	765	24	-1	
5	1	1	1	1	1	2	5	24	24	0.000000	ÌI
5	1	1	1	1	2	35	10	106	18	92.198380	FPT.Ehospital:
5	1	1	1	1	3	149	7	42	17	92.198380	BỆNH
5	1	1	1	1	4	198	7	37	20	93.124786	VIỆN
5	1	1	1	1	5	243	6	38	18	91.605042	PHỔI
5	1	1	1	1	6	287	7	39	17	89.511032	TỈNH
5	1	1	1	1	7	333	7	62	18	92.406372	QUẢNG
5	1	1	1	1	8	402	11	42	13	93.090790	NINH
5	1	1	1	1	9	451	18	6	1	93.306244	-
5	1	1	1	1	10	463	11	60	13	93.154587	SERVER
5	1	1	1	1	11	529	7	32	17	86.017365	MỚI
5	1	1	1	1	12	569	18	5	1	93.306206	-
5	1	1	1	1	13	581	10	47	17	93.221809	[Phiếu
5	1	1	1	1	14	634	11	36	13	91.656181	Điều
5	1	1	1	1	15	676	11	17	16	92.017708	Trị
5	1	1	1	1	16	700	11	15	16	65.137833	(Y
5	1	1	1	1	17	721	10	46	17	92.330246	Lệnh)]
4	1	1	1	2	0	0	39	2554	29	-1	
5	1	1	1	2	1	0	45	1	23	48.115929	\
5	1	1	1	2	2	12	42	18	19	0.000000	s3
5	1	1	1	2	3	47	35	41	34	67.122849	Tiếp
5	1	1	1	2	4	101	35	29	34	67.122849	Đón
5	1	1	1	2	5	149	44	95	18	84.114952	KhámBệnh
5	1	1	1	2	6	266	44	121	19	83.195457	CậnLâmSàng
5	1	1	1	2	7	407	44	83	19	89.600471	LâmSảng
5	1	1	1	2	8	511	44	70	18	92.462540	ViệnPhí
5	1	1	1	2	9	600	42	96	21	92.533539	DượcPhấm
5	1	1	1	2	10	710	35	46	34	81.093056	Phẩu
5	1	1	1	2	11	763	39	134	23	42.561005	thuật/Thủ
5	1	1	1	2	12	852	35	52	34	42.561005	thuật
5	1	1	1	2	13	914	35	66	34	39.830276	Quảnlý
5	1	1	1	2	14	988	35	69	34	39.830276	bệnhán
5	1	1	1	2	15	1073	35	34	34	92.358337	Báo
5	1	1	1	2	16	1118	35	32	34	92.542839	Cáo
5	1	1	1	2	17	1166	35	43	34	87.293968	Danh
5	1	1	1	2	18	1220	35	32	34	87.293968	Mục
5	1	1	1	2	19	1271	44	80	19	87.264053	HệThống
5	1	1	1	2	20	1374	44	73	18	92.185432	NhânSự
5	1	1	1	2	21	1461	35	72	34	89.936897	ChiĐạo
5	1	1	1	2	22	1540	35	52	34	83.507828	Tuyến
5	1	1	1	2	23	1611	44	139	18	73.379517	KếtXuấtDữLiệu
5	1	1	1	2	24	1773	45	45	15	86.422852	BHXH
5	1	1	1	2	25	1844	44	85	19	69.764191	ChữKýSổ
5	1	1	1	2	26	1951	42	60	21	82.873489	Cửa
5	1	1	1	2	27	1991	35	23	34	85.826614	Số
5	1	1	1	2	28	2491	44	63	14	5.905960	-#8x
2	1	2	0	0	0	0	67	2056	2	-1	
3	1	2	1	0	0	0	67	2056	2	-1	
4	1	2	1	1	0	0	67	2056	2	-1	
5	1	2	1	1	1	0	67	2056	2	95.000000	 
2	1	3	0	0	0	0	69	158	40	-1	
3	1	3	1	0	0	0	69	158	40	-1	
4	1	3	1	1	0	0	69	158	40	-1	
5	1	3	1	1	1	0	69	158	40	69.110924	(+
5	1	3	1	1	2	80	65	30	60	0.000000	i
5	1	3	1	1	3	130	65	30	60	93.100838	X
2	1	4	0	0	0	8	117	273	18	-1	
3	1	4	1	0	0	8	117	273	18	-1	
4	1	4	1	1	0	8	117	273	18	-1	
5	1	4	1	1	1	8	117	49	16	92.056389	Thêm
5	1	4	1	1	2	74	117	31	16	90.441269	Sửa
5	1	4	1	1	3	124	117	32	16	87.458084	Xóa
5	1	4	1	1	4	177	119	28	14	89.942604	Lưu
5	1	4	1	1	5	225	117	17	16	34.702896	Bö
5	1	4	1	1	6	251	122	30	13	87.227966	qua
2	1	5	0	0	0	312	72	224	37	-1	
3	1	5	1	0	0	312	72	224	37	-1	
4	1	5	1	1	0	312	72	224	37	-1	
5	1	5	1	1	1	312	73	33	36	60.467808	O
5	1	5	1	1	2	400	76	37	30	77.052101	E
5	1	5	1	1	3	499	72	37	37	75.040466	Q
2	1	6	0	0	0	146	158	149	1	-1	
3	1	6	1	0	0	146	158	149	1	-1	
4	1	6	1	1	0	146	158	149	1	-1	
5	1	6	1	1	1	146	158	149	1	95.000000	 
2	1	7	0	0	0	146	158	1	33	-1	
3	1	7	1	0	0	146	158	1	33	-1	
4	1	7	1	1	0	146	158	1	33	-1	
5	1	7	1	1	1	146	158	1	33	95.000000	 
2	1	8	0	0	0	275	158	1	33	-1	
3	1	8	1	0	0	275	158	1	33	-1	
4	1	8	1	1	0	275	158	1	33	-1	
5	1	8	1	1	1	275	158	1	33	95.000000	 
2	1	9	0	0	0	294	158	1	33	-1	
3	1	9	1	0	0	294	158	1	33	-1	
4	1	9	1	1	0	294	158	1	33	-1	
5	1	9	1	1	1	294	158	1	33	95.000000	 
2	1	10	0	0	0	146	190	149	1	-1	
3	1	10	1	0	0	146	190	149	1	-1	
4	1	10	1	1	0	146	190	149	1	-1	
5	1	10	1	1	1	146	190	149	1	95.000000	 
2	1	11	0	0	0	603	72	249	37	-1	
3	1	11	1	0	0	603	72	249	37	-1	
4	1	11	1	1	0	603	72	249	37	-1	
5	1	11	1	1	1	603	72	34	37	22.615471	2
5	1	11	1	1	2	682	72	170	37	1.513535	esE
5	1	11	1	1	3	816	68	40	58	51.058659	U
2	1	12	0	0	0	926	86	15	22	-1	
